,ID,Unnamed:_0,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
19,20502022,19,RED Canids  vs Istanbul Wildcats ,RED Canids vs IW 0,1,MSI,MSI 2022,RED Canids ,Istanbul Wildcats ,2022-05-13,0,blue,31,8,39,11,3,14,2,0,2,0,0,0,59.6,49.5,109.1,blue,446,blue,612,blue,446,blue,574,none,0,1798,"Guigo,Aegis,Grevthar,Titan,JoJo,","StarScreen,Ferret,Serin,Holyphoenix,Farfetch,"
20,21502022,20,PSG Talon  vs Royal Never Give Up ,PSG Talon vs RNG 0,1,MSI,MSI 2022,PSG Talon ,Royal Never Give Up ,2022-05-13,0,red,14,14,28,2,11,13,1,0,1,0,2,2,59.5,66.3,125.8,blue,140,blue,945,red,140,blue,579,red,1560,2009,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Bin,Wei,xiaohu,GALA,Ming,"
21,22502022,21,Evil Geniuses  vs G2 Esports ,EG vs G2 Esports 0,1,MSI,MSI 2022,Evil Geniuses ,G2 Esports ,2022-05-14,0,red,12,22,34,5,7,12,1,0,1,1,1,2,69.3,71.3,140.6,blue,261,blue,692,red,261,blue,571,red,1317,2358,"Impact,Inspired,jojopyun,Danny,Vulcan,","Brokenblade,Jankos,Caps,Targamas,Flakked,"
22,23502022,22,Evil Geniuses  vs ORDER ,EG vs ORDER 0,1,MSI,MSI 2022,Evil Geniuses ,ORDER ,2022-05-14,0,blue,24,5,29,11,0,11,3,0,3,1,0,1,54.4,34.5,88.9,blue,195,blue,804,blue,195,red,506,blue,1319,1420,"Impact,Inspired,jojopyun,Danny,Vulcan,","BioPanther,Kevy,Kisee,Puma,Corporal,"
23,24502022,23,G2 Esports  vs ORDER ,G2 Esports vs ORDER 0,1,MSI,MSI 2022,G2 Esports ,ORDER ,2022-05-14,0,blue,28,10,38,10,0,10,1,0,1,0,1,1,60.4,42.1,102.5,blue,125,blue,715,blue,125,blue,504,red,1386,1573,"Brokenblade,Jankos,Caps,Flakked,Targamas,","BioPanther,Kevy,Kisee,Puma,Corporal,"
24,25502022,24,G2 Esports  vs Evil Geniuses ,G2 Esports vs EG 0,1,MSI,MSI 2022,G2 Esports ,Evil Geniuses ,2022-05-14,0,blue,23,11,34,8,5,13,3,0,3,1,0,1,66.5,62.7,129.2,blue,236,red,887,blue,236,blue,603,blue,1785,2090,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Impact,Inspired,jojopyun,Danny,Vulcan,"
25,26502022,25,ORDER  vs G2 Esports ,ORDER vs G2 Esports 0,1,MSI,MSI 2022,ORDER ,G2 Esports ,2022-05-14,0,red,4,20,24,3,9,12,2,0,2,0,1,1,37.4,51.7,89.1,red,371,red,598,blue,355,red,503,red,1241,1450,"BioPanther,Kevy,Kisee,Puma,Corporal,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
26,27502022,26,Istanbul Wildcats  vs Royal Never Give Up ,IW vs RNG 0,1,MSI,MSI 2022,Istanbul Wildcats ,Royal Never Give Up ,2022-05-14,0,red,10,23,33,1,11,12,1,0,1,0,1,1,41.9,54.4,96.3,red,236,red,669,red,236,red,513,red,1231,1526,"StarScreen,Ferret,Serin,Holyphoenix,Farfetch,","Bin,Wei,xiaohu,GALA,Ming,"
27,28502022,27,Royal Never Give Up  vs PSG Talon ,RNG vs PSG Talon 0,1,MSI,MSI 2022,Royal Never Give Up ,PSG Talon ,2022-05-14,0,blue,26,8,34,9,0,9,2,0,2,1,0,1,51.4,36.9,88.3,blue,232,blue,702,blue,232,blue,573,blue,1290,1418,"Bin,Wei,xiaohu,GALA,Ming,","Azhi,Juhan,Bay,Unified,Kaiwing,"
28,29502022,28,Royal Never Give Up  vs RED Canids ,RNG vs RED Canids 0,1,MSI,MSI 2022,Royal Never Give Up ,RED Canids ,2022-05-14,0,blue,30,10,40,11,2,13,2,0,2,1,0,1,64.8,48.4,113.2,blue,255,blue,770,red,255,blue,552,blue,1460,1777,"Bin,Wei,xiaohu,GALA,Ming,","Guigo,Aegis,Grevthar,Titan,JoJo,"
